Date,Open,High,Low,Close,Volume
2024-05-08,6.46999979019165,6.489999771118164,6.099999904632568,6.099999904632568,16300.0
2024-05-09,6.599999904632568,6.929999828338623,6.550000190734863,6.730000019073486,38490.0
2024-05-10,6.309999942779541,6.75,6.199999809265137,6.650000095367432,12400.0
2024-05-13,6.989999771118164,7.0,6.28000020980835,6.28000020980835,30870.0
2024-05-14,7.099999904632568,7.139999866485596,6.75,7.099999904632568,24410.0
2024-05-15,7.179999828338623,7.230000019073486,7.050000190734863,7.139999866485596,9910.0
2024-05-16,7.369999885559082,7.519999980926514,7.199999809265137,7.300000190734863,26100.0
2024-05-17,7.119999885559082,7.5,7.079999923706055,7.400000095367432,11090.0
2024-05-20,7.21999979019165,7.300000190734863,7.119999885559082,7.28000020980835,8100.0
2024-05-21,7.289999961853027,7.429999828338623,7.199999809265137,7.400000095367432,13420.0
2024-05-22,7.300000190734863,7.5,7.199999809265137,7.289999961853027,16810.0
2024-05-23,7.400000095367432,7.5,7.070000171661377,7.210000038146973,4090.0
2024-05-24,7.460000038146973,7.599999904632568,7.099999904632568,7.199999809265137,25380.0
2024-05-28,7.019999980926514,7.25,7.0,7.0,13580.0
2024-05-29,6.900000095367432,7.0,6.739999771118164,7.0,6000.0
2024-05-30,6.670000076293945,6.800000190734863,6.5,6.800000190734863,9820.0
2024-05-31,6.829999923706055,6.900000095367432,6.699999809265137,6.800000190734863,7850.0
2024-06-03,6.800000190734863,6.949999809265137,6.650000095367432,6.809999942779541,3440.0
2024-06-04,6.400000095367432,6.849999904632568,6.329999923706055,6.849999904632568,7250.0
2024-06-05,6.360000133514404,6.639999866485596,6.110000133514404,6.639999866485596,8040.0
2024-06-06,5.900000095367432,6.300000190734863,5.820000171661377,6.300000190734863,7410.0
2024-06-07,6.130000114440918,6.480000019073486,5.849999904632568,6.0,23590.0
2024-06-10,6.079999923706055,6.489999771118164,6.010000228881836,6.449999809265137,9920.0
2024-06-11,5.800000190734863,6.099999904632568,5.71999979019165,6.0,9580.0
2024-06-12,5.400000095367432,5.800000190734863,5.170000076293945,5.800000190734863,33410.0
2024-06-13,5.429999828338623,5.679999828338623,5.260000228881836,5.579999923706055,18880.0
2024-06-14,5.389999866485596,5.5,5.25,5.309999942779541,33800.0
2024-06-17,5.849999904632568,6.380000114440918,5.360000133514404,5.400000095367432,27200.0
2024-06-18,5.400000095367432,5.849999904632568,5.380000114440918,5.849999904632568,9810.0
2024-06-20,5.71999979019165,6.510000228881836,5.360000133514404,5.360000133514404,25630.0
2024-06-21,5.599999904632568,5.800000190734863,5.400000095367432,5.550000190734863,18110.0
2024-06-24,5.869999885559082,6.090000152587891,5.519999980926514,5.670000076293945,4270.0
2024-06-25,5.679999828338623,6.400000095367432,5.429999828338623,6.090000152587891,28900.0
2024-06-26,5.46999979019165,5.900000095367432,5.320000171661377,5.900000095367432,27030.0
2024-06-27,5.900000095367432,6.090000152587891,5.409999847412109,5.409999847412109,19310.0
2024-06-28,5.949999809265137,6.199999809265137,5.800000190734863,5.800000190734863,34100.0
2024-07-01,5.900000095367432,6.400000095367432,5.800000190734863,6.199999809265137,43380.0
2024-07-02,5.900000095367432,6.230000019073486,5.5,5.900000095367432,35390.0
2024-07-03,5.389999866485596,5.889999866485596,5.21999979019165,5.889999866485596,48200.0
2024-07-05,5.019999980926514,5.369999885559082,4.929999828338623,5.289999961853027,30600.0
2024-07-08,4.650000095367432,5.039999961853027,4.630000114440918,5.03000020980835,73200.0
2024-07-09,4.340000152587891,4.776000022888184,4.340000152587891,4.769999980926514,42800.0
2024-07-10,4.340000152587891,4.489999771118164,4.159999847412109,4.429999828338623,90300.0
2024-07-11,4.769999980926514,4.840000152587891,4.309999942779541,4.480000019073486,84000.0
2024-07-12,5.050000190734863,5.440000057220459,4.579999923706055,4.929999828338623,117400.0
2024-07-15,5.949999809265137,5.989999771118164,5.25,5.300000190734863,162100.0
